None,date,ticker,reportperiod,datekey,assets_sharadar,liabilities_sharadar,sgna_sharadar,rnd_sharadar,ebitda_sharadar,deferredrev_sharadar,cor_sharadar,gp_sharadar,debtc_sharadar,investments_sharadar,ppnenet_sharadar,revenue_sharadar,intangibles_sharadar,cashneq_sharadar,inventory_sharadar,accoci_sharadar,payables_sharadar,cashneq_sharadar,dps_sharadar,receivables_sharadar,capex_sharadar,equity_sharadar,opinc_sharadar
87,2008-09,IBM,2008-09-30,2008-09-30,115910000000.0,88391000000.0,23569000000.0,6393000000.0,22559000000.0,12436000000.0,59796000000.0,45694000000.0,16181000000.0,30294000000.0,14659000000.0,105490000000.0,21909000000.0,9755000000.0,3000000000.0,-4384000000.0,6770000000.0,9755000000.0,1.8,11027000000.0,-4935000000.0,27519000000.0,17093000000.0
88,2008-06,IBM,2008-06-30,2008-06-30,120928000000.0,92663000000.0,23249000000.0,6338000000.0,21938000000.0,13986000000.0,59617000000.0,44690000000.0,12710000000.0,32765000000.0,15386000000.0,104307000000.0,22901000000.0,9626000000.0,2916000000.0,-3006000000.0,7531000000.0,9626000000.0,1.7,11986000000.0,-5106000000.0,28264000000.0,16511000000.0
89,2008-03,IBM,2008-03-31,2008-03-31,121823000000.0,93095000000.0,22591000000.0,6212000000.0,21131000000.0,14314000000.0,58230000000.0,43029000000.0,15235000000.0,33706000000.0,15470000000.0,101259000000.0,21746000000.0,10786000000.0,2977000000.0,-3282000000.0,7329000000.0,10786000000.0,1.6,12151000000.0,-5048000000.0,28728000000.0,15824000000.0
91,2007-09,IBM,2007-09-30,2007-09-30,108609000000.0,88063000000.0,21664000000.0,6154000000.0,19520000000.0,11806000000.0,55716000000.0,40462000000.0,16546000000.0,37331000000.0,14836000000.0,96178000000.0,16005000000.0,9295000000.0,2855000000.0,-7513000000.0,6732000000.0,9295000000.0,1.4,11272000000.0,-4914000000.0,20546000000.0,14284000000.0
92,2007-06,IBM,2007-06-30,2007-06-30,102548000000.0,85792000000.0,21461000000.0,6173000000.0,19180000000.0,12266000000.0,54679000000.0,39997000000.0,20543000000.0,35677000000.0,14479000000.0,94676000000.0,15291000000.0,7010000000.0,2848000000.0,-7997000000.0,6653000000.0,7010000000.0,1.3,10897000000.0,-4876000000.0,16756000000.0,14054000000.0
93,2007-03,IBM,2007-03-31,2007-03-31,101619000000.0,73811000000.0,20746000000.0,6161000000.0,18833000000.0,9380000000.0,53721000000.0,39073000000.0,9661000000.0,35282000000.0,14414000000.0,92794000000.0,15260000000.0,6953000000.0,2912000000.0,-8607000000.0,6859000000.0,6953000000.0,1.2,11070000000.0,-4892000000.0,27809000000.0,13742000000.0
95,2006-09,IBM,2006-09-30,2006-09-30,104155000000.0,69907000000.0,19891000000.0,5980000000.0,18306000000.0,0.0,52235000000.0,37358000000.0,8555000000.0,29106000000.0,14059000000.0,89593000000.0,11936000000.0,8484000000.0,3135000000.0,-315000000.0,22249000000.0,8484000000.0,1.0,10283000000.0,-3832000000.0,34248000000.0,13324000000.0
96,2006-06,IBM,2006-06-30,2006-06-30,103377000000.0,69828000000.0,19402000000.0,5884000000.0,18044000000.0,0.0,51900000000.0,36605000000.0,7907000000.0,29503000000.0,13963000000.0,88505000000.0,11981000000.0,7100000000.0,3111000000.0,-354000000.0,22395000000.0,7100000000.0,0.9,10273000000.0,-3603000000.0,33549000000.0,13052000000.0
97,2006-03,IBM,2006-03-31,2006-03-31,102468000000.0,69737000000.0,20983000000.0,5839000000.0,17952000000.0,0.0,52519000000.0,36366000000.0,7160000000.0,29528000000.0,13712000000.0,88885000000.0,11836000000.0,9135000000.0,2953000000.0,-1758000000.0,22213000000.0,9135000000.0,0.8,9789000000.0,-3547000000.0,32731000000.0,12892000000.0
99,2005-09,IBM,2005-09-30,2005-09-30,101009000000.0,70774000000.0,21501000000.0,5897000000.0,17006000000.0,0.0,57873000000.0,36505000000.0,4050000000.0,27694000000.0,14042000000.0,94378000000.0,11061000000.0,8252000000.0,3290000000.0,-2211000000.0,22016000000.0,8252000000.0,0.76,10890000000.0,-4045000000.0,30235000000.0,11917000000.0
100,2005-06,IBM,2005-06-30,2005-06-30,103388000000.0,73263000000.0,22031000000.0,5918000000.0,16238000000.0,0.0,59898000000.0,36300000000.0,6134000000.0,28870000000.0,14212000000.0,96198000000.0,10966000000.0,8648000000.0,3248000000.0,-2324000000.0,22233000000.0,8648000000.0,0.74,11639000000.0,-4034000000.0,30125000000.0,11163000000.0
101,2005-03,IBM,2005-03-31,2005-03-31,104899000000.0,74979000000.0,20354000000.0,5917000000.0,15820000000.0,0.0,61095000000.0,35931000000.0,6329000000.0,30084000000.0,14708000000.0,97026000000.0,10332000000.0,8637000000.0,3417000000.0,-2163000000.0,23655000000.0,8637000000.0,0.72,11246000000.0,-3775000000.0,29920000000.0,10882000000.0
103,2004-09,IBM,2004-09-30,2004-09-30,100676000000.0,70974000000.0,20263000000.0,5946000000.0,14253000000.0,0.0,60200000000.0,34335000000.0,8427000000.0,30314000000.0,14608000000.0,94535000000.0,8478000000.0,9178000000.0,3331000000.0,-1564000000.0,22445000000.0,9178000000.0,0.68,10829000000.0,-3817000000.0,29702000000.0,9173000000.0
104,2004-06,IBM,2004-06-30,2004-06-30,99582000000.0,70752000000.0,19404000000.0,5785000000.0,14570000000.0,0.0,59094000000.0,33614000000.0,7505000000.0,31049000000.0,14569000000.0,92708000000.0,8362000000.0,7715000000.0,3182000000.0,-1896000000.0,22537000000.0,7715000000.0,0.66,10807000000.0,-3702000000.0,28830000000.0,9538000000.0
105,2004-03,IBM,2004-03-31,2004-03-31,101825000000.0,73640000000.0,19044000000.0,5535000000.0,14535000000.0,0.0,58035000000.0,33206000000.0,7568000000.0,34433000000.0,14612000000.0,91241000000.0,7684000000.0,7450000000.0,3049000000.0,-1793000000.0,22745000000.0,7450000000.0,0.64,10884000000.0,-4067000000.0,28185000000.0,9526000000.0
107,2003-09,IBM,2003-09-30,2003-09-30,97190000000.0,69864000000.0,18418000000.0,4932000000.0,13134000000.0,0.0,54668000000.0,32234000000.0,5935000000.0,33207000000.0,14489000000.0,86902000000.0,7534000000.0,5451000000.0,3282000000.0,-2477000000.0,22178000000.0,5451000000.0,0.62,10998000000.0,-4178000000.0,27326000000.0,9870000000.0
108,2003-06,IBM,2003-06-30,2003-06-30,96938000000.0,70365000000.0,18102000000.0,4838000000.0,12513000000.0,0.0,53456000000.0,31745000000.0,4873000000.0,34273000000.0,14560000000.0,85201000000.0,7260000000.0,4842000000.0,3361000000.0,-2599000000.0,22008000000.0,4842000000.0,0.61,10684000000.0,-4212000000.0,26573000000.0,9726000000.0
109,2003-03,IBM,2003-03-31,2003-03-31,95720000000.0,71147000000.0,18930000000.0,4810000000.0,10704000000.0,0.0,52204000000.0,31017000000.0,5767000000.0,34758000000.0,14363000000.0,83221000000.0,6606000000.0,4195000000.0,3318000000.0,-3079000000.0,21346000000.0,4195000000.0,0.6,11099000000.0,-4182000000.0,24573000000.0,7847000000.0
111,2002-09,IBM,2002-09-30,2002-09-30,83956000000.0,61864000000.0,17996000000.0,4787000000.0,12328000000.0,0.0,49617000000.0,30026000000.0,7971000000.0,42963000000.0,14451000000.0,79643000000.0,1800000000.0,5216000000.0,3424000000.0,-811000000.0,18435000000.0,5216000000.0,0.58,9748000000.0,-4329000000.0,22092000000.0,8556000000.0
112,2002-06,IBM,2002-06-30,2002-06-30,84211000000.0,62816000000.0,18094000000.0,4826000000.0,12679000000.0,0.0,49468000000.0,30137000000.0,9571000000.0,44038000000.0,14712000000.0,79605000000.0,1813000000.0,3453000000.0,3842000000.0,-793000000.0,19403000000.0,3453000000.0,0.57,9769000000.0,-4628000000.0,21395000000.0,8579000000.0
113,2002-03,IBM,2002-03-31,2002-03-31,83056000000.0,60005000000.0,16988000000.0,4912000000.0,14821000000.0,0.0,49934000000.0,30854000000.0,8243000000.0,41945000000.0,16629000000.0,80788000000.0,1880000000.0,3833000000.0,4407000000.0,-881000000.0,17606000000.0,3833000000.0,0.56,9563000000.0,-4683000000.0,23051000000.0,10950000000.0
115,2001-09,IBM,2001-09-30,2001-09-30,85094000000.0,63117000000.0,18480000000.0,5199000000.0,16336000000.0,0.0,51864000000.0,32106000000.0,10907000000.0,44307000000.0,16820000000.0,83970000000.0,0.0,3715000000.0,4838000000.0,-547000000.0,18380000000.0,3715000000.0,0.54,10632000000.0,-5256000000.0,21977000000.0,11784000000.0
116,2001-06,IBM,2001-06-30,2001-06-30,83940000000.0,61349000000.0,18121000000.0,5208000000.0,16902000000.0,0.0,53592000000.0,32376000000.0,8536000000.0,42750000000.0,16611000000.0,85968000000.0,0.0,3691000000.0,4858000000.0,-285000000.0,17497000000.0,3691000000.0,0.53,10699000000.0,-5093000000.0,22591000000.0,12213000000.0
117,2001-03,IBM,2001-03-31,2001-03-31,84790000000.0,63324000000.0,17806000000.0,5193000000.0,17001000000.0,0.0,54533000000.0,32252000000.0,10910000000.0,43224000000.0,16514000000.0,86785000000.0,0.0,3793000000.0,5012000000.0,-163000000.0,17824000000.0,3793000000.0,0.52,10550000000.0,-4868000000.0,21466000000.0,12071000000.0
119,2000-09,IBM,2000-09-30,2000-09-30,83876000000.0,64329000000.0,17309000000.0,5350000000.0,15660000000.0,0.0,55953000000.0,31009000000.0,10695000000.0,31710000000.0,16329000000.0,86962000000.0,759000000.0,2880000000.0,4909000000.0,-160000000.0,18315000000.0,2880000000.0,0.5,21898000000.0,-4429000000.0,19547000000.0,10773000000.0
120,2000-06,IBM,2000-06-30,2000-06-30,82949000000.0,63775000000.0,17084000000.0,5472000000.0,15876000000.0,0.0,55456000000.0,30869000000.0,12315000000.0,31468000000.0,16634000000.0,86325000000.0,740000000.0,2987000000.0,4759000000.0,112000000.0,17857000000.0,2987000000.0,0.49,21145000000.0,-4685000000.0,19174000000.0,10697000000.0
121,2000-03,IBM,2000-03-31,2000-03-31,82764000000.0,63246000000.0,16063000000.0,5496000000.0,18489000000.0,0.0,55349000000.0,31230000000.0,13844000000.0,31830000000.0,16959000000.0,86579000000.0,742000000.0,3285000000.0,5070000000.0,659000000.0,17885000000.0,3285000000.0,0.48,19735000000.0,-5019000000.0,19518000000.0,12080000000.0
123,1999-09,IBM,1999-09-30,1999-09-30,85375000000.0,65307000000.0,15358000000.0,5264000000.0,19517000000.0,0.0,55642000000.0,32855000000.0,14096000000.0,32283000000.0,17463000000.0,88497000000.0,628000000.0,4582000000.0,5130000000.0,630000000.0,19904000000.0,4582000000.0,0.46,20379000000.0,-5404000000.0,20068000000.0,13245000000.0
124,1999-06,IBM,1999-06-30,1999-06-30,83347000000.0,64189000000.0,15914000000.0,5121000000.0,18848000000.0,0.0,54690000000.0,32758000000.0,14713000000.0,30104000000.0,17253000000.0,87448000000.0,613000000.0,5465000000.0,5039000000.0,161000000.0,17851000000.0,5465000000.0,0.45,19727000000.0,-5706000000.0,19158000000.0,12601000000.0
125,1999-03,IBM,1999-03-31,1999-03-31,81751000000.0,63445000000.0,16880000000.0,5048000000.0,15498000000.0,0.0,52686000000.0,31680000000.0,13708000000.0,29052000000.0,18866000000.0,84366000000.0,587000000.0,4855000000.0,5241000000.0,347000000.0,16791000000.0,4855000000.0,0.44,18194000000.0,-5773000000.0,18306000000.0,10475000000.0
127,1998-09,IBM,1998-09-30,1998-09-30,79719000000.0,61084000000.0,16648000000.0,5064000000.0,14506000000.0,0.0,49678000000.0,30581000000.0,13237000000.0,27452000000.0,19005000000.0,80259000000.0,645000000.0,5553000000.0,5548000000.0,911000000.0,16485000000.0,5553000000.0,0.42,17682000000.0,-6030000000.0,18635000000.0,8869000000.0
128,1998-06,IBM,1998-06-30,1998-06-30,77112000000.0,58535000000.0,16523000000.0,4986000000.0,14247000000.0,0.0,48557000000.0,30212000000.0,13271000000.0,27101000000.0,18453000000.0,78769000000.0,703000000.0,5084000000.0,5621000000.0,700000000.0,15023000000.0,5084000000.0,0.41,15816000000.0,-5816000000.0,18577000000.0,8703000000.0
129,1998-03,IBM,1998-03-31,1998-03-31,77944000000.0,59079000000.0,16669000000.0,4987000000.0,14461000000.0,0.0,48351000000.0,30467000000.0,12667000000.0,27562000000.0,18223000000.0,78818000000.0,784000000.0,5495000000.0,5392000000.0,812000000.0,15356000000.0,5495000000.0,0.4,16248000000.0,-6005000000.0,18865000000.0,8811000000.0
131,1997-09,IBM,1997-09-30,1997-09-30,78293000000.0,58537000000.0,16667000000.0,5219000000.0,14516000000.0,0.0,47516000000.0,30412000000.0,12518000000.0,27493000000.0,17921000000.0,77928000000.0,912000000.0,5926000000.0,5981000000.0,1403000000.0,15831000000.0,5926000000.0,0.375,16078000000.0,-5866000000.0,19756000000.0,8961000000.0
132,1997-06,IBM,1997-06-30,1997-06-30,78819000000.0,58710000000.0,16910000000.0,5172000000.0,14520000000.0,0.0,46813000000.0,30572000000.0,14028000000.0,27579000000.0,17647000000.0,77385000000.0,1037000000.0,6503000000.0,5913000000.0,1764000000.0,16037000000.0,6503000000.0,0.363,16060000000.0,-5699000000.0,20109000000.0,8925000000.0
133,1997-03,IBM,1997-03-31,1997-03-31,76527000000.0,56576000000.0,16841000000.0,5067000000.0,14625000000.0,0.0,46334000000.0,30362000000.0,13243000000.0,27100000000.0,17062000000.0,76696000000.0,1220000000.0,5959000000.0,5786000000.0,1723000000.0,15777000000.0,5959000000.0,0.35,15739000000.0,-5320000000.0,19951000000.0,8889000000.0
135,1996-09,IBM,1996-09-30,1996-09-30,77996000000.0,56628000000.0,17153000000.0,4570000000.0,14230000000.0,0.0,44355000000.0,30369000000.0,13462000000.0,25976000000.0,16676000000.0,74724000000.0,1694000000.0,6806000000.0,7166000000.0,2649000000.0,15494000000.0,6806000000.0,0.3,15843000000.0,-4568000000.0,21368000000.0,8211000000.0
136,1996-06,IBM,1996-06-30,1996-06-30,77474000000.0,55946000000.0,16836000000.0,4490000000.0,12599000000.0,0.0,43384000000.0,30032000000.0,13580000000.0,26422000000.0,16337000000.0,73416000000.0,1933000000.0,5896000000.0,6720000000.0,2722000000.0,14875000000.0,5896000000.0,0.275,16246000000.0,-4171000000.0,21528000000.0,6431000000.0
137,1996-03,IBM,1996-03-31,1996-03-31,77766000000.0,55946000000.0,16830000000.0,4348000000.0,13236000000.0,0.0,42292000000.0,30472000000.0,12343000000.0,26782000000.0,16207000000.0,72764000000.0,2214000000.0,5953000000.0,6958000000.0,2876000000.0,15855000000.0,5953000000.0,0.25,16120000000.0,-3865000000.0,21820000000.0,7019000000.0
139,1995-09,IBM,1995-09-30,1995-09-30,77502000000.0,55838000000.0,16321000000.0,4040000000.0,13602000000.0,0.0,40614000000.0,29302000000.0,11076000000.0,27216000000.0,16433000000.0,69916000000.0,2740000000.0,6440000000.0,6520000000.0,3184000000.0,15133000000.0,6440000000.0,0.25,14710000000.0,-3857000000.0,21664000000.0,7101000000.0
140,1995-06,IBM,1995-06-30,1995-06-30,81601000000.0,56755000000.0,16348000000.0,4058000000.0,14815000000.0,0.0,40058000000.0,28535000000.0,11278000000.0,27359000000.0,16844000000.0,68593000000.0,2654000000.0,9893000000.0,6162000000.0,3920000000.0,15166000000.0,9893000000.0,0.25,14790000000.0,-3776000000.0,24846000000.0,8129000000.0
141,1995-03,IBM,1995-03-31,1995-03-31,80880000000.0,56794000000.0,16400000000.0,4175000000.0,13567000000.0,0.0,39405000000.0,27008000000.0,10106000000.0,28354000000.0,16824000000.0,66413000000.0,2782000000.0,9072000000.0,6211000000.0,3579000000.0,15847000000.0,9072000000.0,0.25,14070000000.0,-3546000000.0,24086000000.0,6433000000.0
143,1994-09,IBM,1994-09-30,1994-09-30,79068000000.0,56605000000.0,16429000000.0,4698000000.0,11549000000.0,0.0,38943000000.0,24608000000.0,10240000000.0,27568000000.0,16338000000.0,63551000000.0,3059000000.0,9322000000.0,7004000000.0,2802000000.0,16558000000.0,9322000000.0,0.25,12079000000.0,-3362000000.0,22463000000.0,3481000000.0
144,1994-06,IBM,1994-06-30,1994-06-30,78601000000.0,57033000000.0,16803000000.0,5017000000.0,10537000000.0,0.0,38807000000.0,24056000000.0,10357000000.0,27726000000.0,16736000000.0,62863000000.0,3149000000.0,7381000000.0,7152000000.0,2574000000.0,17058000000.0,7381000000.0,0.25,12123000000.0,-3342000000.0,21568000000.0,2236000000.0
145,1994-03,IBM,1994-03-31,1994-03-31,79872000000.0,59298000000.0,17355000000.0,5302000000.0,310000000.0,0.0,39105000000.0,23926000000.0,11942000000.0,27433000000.0,17277000000.0,63031000000.0,3263000000.0,8111000000.0,7390000000.0,2186000000.0,18437000000.0,8111000000.0,0.323,11489000000.0,-3950000000.0,20574000000.0,-7676000000.0
147,1993-09,IBM,1993-09-30,1993-09-30,,,,,,,,,,,,,,,,,,,0.635,,,,
148,1993-06,IBM,1993-06-30,1993-06-30,,,,,,,,,,,,,,,,,,,0.875,,,,
149,1993-03,IBM,1993-03-31,1993-03-31,,,,,,,,,,,,,,,,,,,1.042,,,,
272,2022-02,IBM,2021-12-31,2022-02-22,132001000000.0,113005000000.0,18745000000.0,6488000000.0,13439000000.0,16095000000.0,25865000000.0,31485000000.0,7761000000.0,15069000000.0,8916000000.0,57350000000.0,68154000000.0,6957000000.0,1649000000.0,-23234000000.0,3955000000.0,6957000000.0,6.56,7756000000.0,-2381000000.0,18901000000.0,5991000000.0
273,2021-02,IBM,2020-12-31,2021-02-23,155971000000.0,135244000000.0,23082000000.0,6333000000.0,12709000000.0,17134000000.0,38046000000.0,35574000000.0,8540000000.0,20860000000.0,14726000000.0,73620000000.0,73413000000.0,13675000000.0,1839000000.0,-29337000000.0,4908000000.0,13675000000.0,6.52,7846000000.0,-3042000000.0,20597000000.0,5924000000.0
274,2020-02,IBM,2019-12-31,2020-02-25,152186000000.0,131202000000.0,20604000000.0,5989000000.0,17565000000.0,15877000000.0,40659000000.0,36488000000.0,10177000000.0,25674000000.0,15006000000.0,77147000000.0,73457000000.0,8313000000.0,1619000000.0,-28597000000.0,4896000000.0,8313000000.0,6.48,9603000000.0,-2370000000.0,20841000000.0,11511000000.0
275,2019-02,IBM,2018-12-31,2019-02-26,123382000000.0,106452000000.0,19366000000.0,5379000000.0,16550000000.0,14610000000.0,42655000000.0,36936000000.0,10207000000.0,34540000000.0,10792000000.0,79591000000.0,39352000000.0,11604000000.0,1682000000.0,-29490000000.0,6558000000.0,11604000000.0,6.28,8175000000.0,-3716000000.0,16796000000.0,12065000000.0
276,2018-02,IBM,2017-12-31,2018-02-27,125356000000.0,107631000000.0,20107000000.0,5787000000.0,16551000000.0,15298000000.0,42913000000.0,36226000000.0,6987000000.0,36798000000.0,11116000000.0,79139000000.0,40530000000.0,11972000000.0,1583000000.0,-26592000000.0,6451000000.0,11972000000.0,6.0,9909000000.0,-3313000000.0,17594000000.0,12014000000.0
277,2017-02,IBM,2016-12-31,2017-02-28,117470000000.0,99078000000.0,21069000000.0,5751000000.0,17332000000.0,14635000000.0,41625000000.0,38294000000.0,7513000000.0,33313000000.0,10830000000.0,79919000000.0,40887000000.0,7826000000.0,1553000000.0,-29398000000.0,6209000000.0,7826000000.0,5.6,10239000000.0,-3726000000.0,18246000000.0,12960000000.0
278,2016-02,IBM,2015-12-31,2016-02-23,110495000000.0,96071000000.0,20430000000.0,5247000000.0,20094000000.0,14792000000.0,41057000000.0,40684000000.0,6461000000.0,34728000000.0,10727000000.0,81741000000.0,35508000000.0,7686000000.0,1551000000.0,-29607000000.0,6028000000.0,7686000000.0,5.2,9534000000.0,-3781000000.0,14262000000.0,16413000000.0
279,2015-02,IBM,2014-12-31,2015-02-24,117532000000.0,105518000000.0,23180000000.0,5437000000.0,21232000000.0,15568000000.0,46386000000.0,46407000000.0,5731000000.0,36547000000.0,10771000000.0,92793000000.0,33660000000.0,8476000000.0,2103000000.0,-27875000000.0,6864000000.0,8476000000.0,4.4,11996000000.0,-3779000000.0,11868000000.0,20470000000.0
280,2014-02,IBM,2013-12-31,2014-02-25,126223000000.0,103294000000.0,23502000000.0,6226000000.0,24604000000.0,16665000000.0,51246000000.0,48505000000.0,6862000000.0,37531000000.0,13821000000.0,99751000000.0,35055000000.0,10716000000.0,2310000000.0,-21602000000.0,7461000000.0,10716000000.0,3.8,12049000000.0,-3768000000.0,22792000000.0,19926000000.0
281,2013-02,IBM,2012-12-31,2013-02-26,119213000000.0,100229000000.0,23553000000.0,6302000000.0,27037000000.0,16443000000.0,54209000000.0,50298000000.0,9181000000.0,36588000000.0,13996000000.0,104507000000.0,33034000000.0,10412000000.0,2287000000.0,-25759000000.0,7952000000.0,10412000000.0,3.4,12540000000.0,-4307000000.0,18860000000.0,22360000000.0
282,2012-02,IBM,2011-12-31,2012-02-28,116433000000.0,96197000000.0,23594000000.0,6258000000.0,26229000000.0,16044000000.0,56778000000.0,50138000000.0,8463000000.0,32572000000.0,13883000000.0,106916000000.0,29605000000.0,11922000000.0,2595000000.0,-21885000000.0,8517000000.0,11922000000.0,3.0,12660000000.0,-4059000000.0,20138000000.0,21414000000.0
283,2011-02,IBM,2010-12-31,2011-02-22,113452000000.0,90279000000.0,21837000000.0,6026000000.0,24922000000.0,15246000000.0,53857000000.0,46013000000.0,6778000000.0,33573000000.0,14096000000.0,99870000000.0,28624000000.0,10661000000.0,2450000000.0,-18743000000.0,7804000000.0,10661000000.0,2.6,11968000000.0,-3984000000.0,23046000000.0,20091000000.0
284,2010-02,IBM,2009-12-31,2010-02-23,109022000000.0,86267000000.0,20952000000.0,5820000000.0,23534000000.0,14407000000.0,51973000000.0,43785000000.0,4168000000.0,32728000000.0,14165000000.0,95758000000.0,22703000000.0,12183000000.0,2494000000.0,-18830000000.0,7436000000.0,12183000000.0,2.2,11879000000.0,-3747000000.0,22637000000.0,18541000000.0
285,2009-02,IBM,2008-12-31,2009-02-24,109524000000.0,96058000000.0,23386000000.0,6337000000.0,22838000000.0,13410000000.0,57969000000.0,45661000000.0,11236000000.0,31884000000.0,14305000000.0,103630000000.0,21104000000.0,12741000000.0,2701000000.0,-21845000000.0,7014000000.0,12741000000.0,2.0,12078000000.0,-4537000000.0,13465000000.0,17389000000.0
286,2008-02,IBM,2007-12-31,2008-02-26,120431000000.0,91962000000.0,22060000000.0,6153000000.0,20301000000.0,12862000000.0,57057000000.0,41729000000.0,12235000000.0,35808000000.0,15081000000.0,98786000000.0,16392000000.0,14991000000.0,2664000000.0,-3414000000.0,8054000000.0,14991000000.0,1.6,12500000000.0,-4968000000.0,28470000000.0,15100000000.0
287,2007-02,IBM,2006-12-31,2007-02-27,103234000000.0,74728000000.0,20259000000.0,6107000000.0,18654000000.0,8587000000.0,53129000000.0,38295000000.0,8902000000.0,36178000000.0,14440000000.0,91424000000.0,15056000000.0,8022000000.0,2810000000.0,-8901000000.0,7964000000.0,8022000000.0,1.2,11753000000.0,-4736000000.0,28506000000.0,13595000000.0
288,2006-02,IBM,2005-12-31,2006-02-28,105748000000.0,72650000000.0,21314000000.0,5842000000.0,17574000000.0,7319000000.0,54602000000.0,36532000000.0,7216000000.0,29470000000.0,13756000000.0,91134000000.0,11104000000.0,12568000000.0,2841000000.0,-2016000000.0,7349000000.0,12568000000.0,0.8,10678000000.0,-3527000000.0,33098000000.0,12446000000.0
289,2005-02,IBM,2004-12-31,2005-02-24,109183000000.0,79436000000.0,19384000000.0,5673000000.0,17064000000.0,7175000000.0,60261000000.0,36032000000.0,8099000000.0,32736000000.0,15175000000.0,96293000000.0,10226000000.0,10053000000.0,3316000000.0,-2061000000.0,9444000000.0,10053000000.0,0.72,12335000000.0,-3745000000.0,29747000000.0,12167000000.0
301,2022-10,IBM,2022-09-30,2022-10-25,125850000000.0,105703000000.0,17220000000.0,6544000000.0,6204000000.0,14157000000.0,17936000000.0,29160000000.0,6781000000.0,14428000000.0,7890000000.0,47096000000.0,65185000000.0,7975000000.0,1794000000.0,-17138000000.0,3806000000.0,7975000000.0,6.58,6428000000.0,-1844000000.0,20076000000.0,109000000.0
302,2022-07,IBM,2022-06-30,2022-07-25,127503000000.0,108026000000.0,17689000000.0,6554000000.0,12522000000.0,15591000000.0,20706000000.0,29901000000.0,6865000000.0,14148000000.0,8123000000.0,50607000000.0,66610000000.0,7254000000.0,1684000000.0,-22169000000.0,3707000000.0,7254000000.0,6.57,6776000000.0,-2034000000.0,19409000000.0,5924000000.0
303,2022-04,IBM,2022-03-31,2022-04-26,133275000000.0,114162000000.0,18168000000.0,6538000000.0,12843000000.0,16949000000.0,23201000000.0,30616000000.0,8644000000.0,13690000000.0,8667000000.0,53817000000.0,68418000000.0,10220000000.0,1776000000.0,-22532000000.0,3453000000.0,10220000000.0,6.56,6966000000.0,-2229000000.0,19050000000.0,5739000000.0
305,2021-11,IBM,2021-09-30,2021-11-05,144214000000.0,121858000000.0,22601000000.0,6519000000.0,13058000000.0,16229000000.0,38557000000.0,35903000000.0,8860000000.0,14803000000.0,13391000000.0,74460000000.0,74403000000.0,7807000000.0,1891000000.0,-27302000000.0,4248000000.0,7807000000.0,6.54,7508000000.0,-2635000000.0,22228000000.0,6233000000.0
306,2021-07,IBM,2021-06-30,2021-07-27,146814000000.0,124747000000.0,22388000000.0,6413000000.0,13597000000.0,17385000000.0,38240000000.0,36162000000.0,7776000000.0,16478000000.0,13810000000.0,74402000000.0,75184000000.0,7565000000.0,1807000000.0,-27652000000.0,4214000000.0,7565000000.0,6.53,7629000000.0,-2826000000.0,21942000000.0,6773000000.0
307,2021-04,IBM,2021-03-31,2021-04-27,148629000000.0,127116000000.0,22302000000.0,6338000000.0,13656000000.0,18350000000.0,37922000000.0,35858000000.0,6535000000.0,17469000000.0,13935000000.0,73780000000.0,73519000000.0,10673000000.0,1828000000.0,-28257000000.0,4140000000.0,10673000000.0,6.52,7245000000.0,-2835000000.0,21389000000.0,6834000000.0
309,2020-10,IBM,2020-09-30,2020-10-27,154128000000.0,132794000000.0,21283000000.0,6318000000.0,15311000000.0,15501000000.0,38879000000.0,36152000000.0,11621000000.0,20415000000.0,14673000000.0,75031000000.0,72317000000.0,14553000000.0,1949000000.0,-28584000000.0,3985000000.0,14553000000.0,6.5,7022000000.0,-2906000000.0,21208000000.0,8667000000.0
310,2020-07,IBM,2020-06-30,2020-07-28,154200000000.0,133512000000.0,21660000000.0,6356000000.0,15101000000.0,16256000000.0,39441000000.0,36058000000.0,10632000000.0,23302000000.0,14483000000.0,75499000000.0,72103000000.0,12188000000.0,1869000000.0,-28757000000.0,4719000000.0,12188000000.0,6.49,7480000000.0,-2760000000.0,20551000000.0,8474000000.0
311,2020-04,IBM,2020-03-31,2020-04-28,153403000000.0,133275000000.0,21868000000.0,6181000000.0,15938000000.0,17146000000.0,40169000000.0,36368000000.0,12969000000.0,22392000000.0,14497000000.0,76537000000.0,72183000000.0,11370000000.0,1786000000.0,-29283000000.0,4172000000.0,11370000000.0,6.48,8543000000.0,-2493000000.0,19999000000.0,9696000000.0
313,2019-10,IBM,2019-09-30,2019-10-29,149620000000.0,131524000000.0,19872000000.0,5751000000.0,17304000000.0,14605000000.0,41055000000.0,36077000000.0,9907000000.0,23023000000.0,14964000000.0,77132000000.0,73564000000.0,10225000000.0,1712000000.0,-29086000000.0,4042000000.0,10225000000.0,6.38,8629000000.0,-2603000000.0,17956000000.0,11794000000.0
314,2019-07,IBM,2019-06-30,2019-07-30,154652000000.0,136876000000.0,19211000000.0,5450000000.0,18009000000.0,14735000000.0,41316000000.0,36544000000.0,15913000000.0,27086000000.0,15200000000.0,77860000000.0,38012000000.0,45534000000.0,1745000000.0,-28841000000.0,4724000000.0,45534000000.0,6.33,9195000000.0,-2864000000.0,17645000000.0,13026000000.0
